"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-26","0.11","0.0","68","47"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-27","0.08","0.0","61","46"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-28","0.00","0.0","74","53"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-29","0.37","0.0","68","62"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-06-30","0.00","0.0","77","55"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-01","0.03","0.0","81","59"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-02","0.02","0.0","79","60"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-03","0.46","0.0","80","59"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-04","0.00","0.0","79","49"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-05","0.00","0.0","81","59"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-06","0.33","0.0","84","66"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-07","0.00","0.0","88","63"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-08","0.56","0.0","83","51"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-09","0.00","0.0","80","59"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-10","0.22","0.0","83","64"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-11","0.00","0.0","84","65"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-12","0.17","0.0","87","67"
"USC00470265","APPLETON, WI US","44.27703","-88.43772","241.4","2017-07-13","0.00","0.0","85","67"
