"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","TMAX","TMIN"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-30","0.27","0.0","72","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-03-31","0.04","0.0","59","43"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-01","0.00","0.0","59","43"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-02","0.14","0.0","64","43"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-03","0.08","0.0","70","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-04",,,"64","52"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-05",,,"75","54"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-06",,,"54","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-07",,,"59","39"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-08",,"0.0","66","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-09","0.00","0.0","77","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-10","0.00","0.0","81","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-11","0.00","0.0","79","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-12","0.00","0.0","68","45"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-13","0.00","0.0","77","46"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-14","0.00","0.0","81","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-15","0.00","0.0","79","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-16","0.00","0.0","82","61"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-17","0.46","0.0","70","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-18","0.00","0.0","64","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-19","0.00","0.0","66","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-20","0.00","0.0","81","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-21",,,"72","52"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-22",,"0.0","52","46"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-23","0.22","0.0","46","43"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-24","0.00","0.0","68","39"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-25","0.00",,"75","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-26","0.00",,"77","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-27","0.76","0.0","57","39"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-28",,,"66","37"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-29",,"0.0","64","54"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-04-30","6.63","0.0","75","61"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-01","0.87","0.0","66","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-02","0.00","0.0","63","41"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-03","0.05","0.0","73","52"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-04","1.28","0.0","55","45"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-05","0.05","0.0","63","43"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-06","0.00","0.0","68","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-07","0.00","0.0","77","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-08","0.00","0.0","81","54"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-09","0.00","0.0","82","55"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-10","0.00","0.0","81","55"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-11","0.00","0.0","82","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-12","0.45","0.0","77","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-13","0.02","0.0","68","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-14","0.00","0.0","75","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-15","0.00","0.0","79","55"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-16","0.00","0.0","82","55"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-17","0.00","0.0","81","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-18","0.00","0.0","81","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-19","0.00","0.0","86","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-20","2.71","0.0","77","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-21","0.42","0.0","72","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-22","0.00","0.0","70","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-23","0.00","0.0","73","52"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-24","0.05","0.0","68","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-25","0.13","0.0","59","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-26","0.00","0.0","77","48"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-27","1.32","0.0","82","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-28","1.31","0.0","86","61"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-29","0.01","0.0","77","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-30","0.00","0.0","82","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-05-31","0.22","0.0","81","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-01","0.00","0.0","82","57"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-02","0.00","0.0","82","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-03","0.00","0.0","82","61"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-04","0.21","0.0","81","64"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-05","0.28","0.0","81","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-06","0.07","0.0","81","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-07","0.00","0.0","82","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-08","0.00","0.0","77","50"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-09","0.00","0.0","77","52"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-10","0.00","0.0","81","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-11","0.00","0.0","82","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-12","0.00","0.0","84","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-13","0.00","0.0","86","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-14","0.00","0.0","88","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-15","0.00","0.0","88","73"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-16","0.00","0.0","88","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-17","0.53","0.0","88","68"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-18","0.42","0.0","84","66"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-19","0.44","0.0","73","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-20","0.00","0.0","77","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-21","0.00","0.0","88","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-22","0.00","0.0","86","63"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-23","0.00","0.0","84","70"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-24","0.88","0.0","86","61"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-25","0.00","0.0","79","59"
"USC00230887","BRANSON AIRPORT, MO US","36.53938","-93.1998","392.0","2017-06-26","0.00","0.0","82","59"
