OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=BAZ,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
04/19/2017,0,5,25,2,32,0,0,0,0,0,0,5,48,0,53,0,4,0,2,6,106,0,106,191,197,
04/20/2017,0,0,17,6,23,0,0,0,0,0,0,4,52,0,56,0,0,0,0,0,98,12,110,189,189,
04/21/2017,0,0,13,18,31,0,0,0,0,0,0,7,49,4,60,0,0,6,30,36,62,18,80,171,207,
04/22/2017,0,0,15,2,17,0,0,0,0,0,0,4,29,2,35,0,0,6,0,6,90,0,90,142,148,
04/23/2017,0,0,6,4,10,0,0,2,0,2,0,4,72,0,76,0,0,2,0,2,22,0,22,108,112,
04/24/2017,0,0,7,1,8,0,0,0,0,0,0,8,82,1,91,0,0,2,18,20,150,6,156,255,275,
04/25/2017,0,0,14,4,18,0,0,0,0,0,0,8,40,0,48,0,0,4,0,4,36,2,38,104,108,
04/26/2017,0,0,5,12,17,0,0,0,0,0,0,2,34,2,38,0,0,0,0,0,52,14,66,121,121,
04/27/2017,0,0,19,18,37,0,0,0,0,0,0,6,85,0,91,0,0,0,34,34,62,0,62,190,224,
04/28/2017,0,0,22,4,26,0,0,0,0,0,0,4,48,2,54,0,2,0,2,4,68,24,92,172,176,
04/29/2017,0,0,16,0,16,0,0,0,0,0,0,4,18,0,22,0,0,4,0,4,42,0,42,80,84,
05-01-2017,0,0,10,6,16,0,0,0,0,0,0,8,49,0,57,0,0,6,20,26,78,0,78,151,177,
05-02-2017,0,0,18,14,32,0,0,0,0,0,0,3,52,8,63,0,2,2,18,22,114,84,198,293,315,
05-03-2017,0,0,11,6,17,0,0,0,0,0,0,3,29,0,32,0,2,0,0,2,64,4,68,117,119,
05-04-2017,0,0,6,32,38,0,0,0,0,0,0,0,58,2,60,0,0,0,0,0,30,0,30,128,128,
05-05-2017,0,0,14,16,30,0,0,0,0,0,0,0,64,0,64,0,0,0,0,0,104,0,104,198,198,
05-06-2017,0,2,3,0,5,0,0,0,0,0,0,4,88,2,94,0,0,4,0,4,124,2,126,225,229,
05-07-2017,0,4,10,0,14,0,0,0,0,0,0,4,51,4,59,0,0,0,0,0,20,12,32,105,105,
05-08-2017,0,0,25,14,39,0,0,0,0,0,0,5,18,1,24,0,0,2,46,48,48,10,58,121,169,
05-09-2017,0,0,23,12,35,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,4,6,10,50,50,
05-10-2017,0,0,23,34,57,0,0,0,0,0,0,0,17,0,17,0,0,0,32,32,26,28,54,128,160,
05-11-2017,0,0,29,14,43,0,0,0,0,0,0,0,14,0,14,0,0,2,20,22,82,10,92,149,171,
05-12-2017,0,0,22,6,28,0,0,0,0,0,0,14,66,0,80,0,2,6,2,10,116,2,118,226,236,
