OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=DCA,,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower,
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations,
06-06-2017,731,155,26,2,914,1,0,5,0,6,0,0,5,9,14,0,52,54,45,151,0,0,0,928,"1,085",
06-07-2017,742,153,44,1,940,0,0,0,0,0,0,1,2,9,12,0,37,34,51,122,0,0,0,952,"1,074",
06-08-2017,744,147,30,2,923,0,0,4,0,4,0,1,8,13,22,0,51,71,58,180,0,0,0,945,"1,129",
06-09-2017,744,140,19,1,904,1,0,0,0,1,0,3,4,9,16,0,53,43,43,139,0,0,0,920,"1,060",
06-10-2017,523,70,4,1,598,0,0,3,0,3,0,1,0,5,6,0,66,90,21,177,0,0,0,604,784,
06-11-2017,679,123,4,0,806,0,0,5,0,5,0,0,2,7,9,0,14,63,17,94,0,0,0,815,914,
06-12-2017,750,137,13,0,900,1,0,2,1,4,0,0,3,14,17,0,48,53,54,155,0,0,0,917,"1,076",
06/13/2017,732,145,17,2,896,0,1,2,0,3,0,0,5,9,14,0,30,67,43,140,0,0,0,910,"1,053",
06/14/2017,697,141,17,3,858,2,0,0,0,2,0,4,2,8,14,0,25,43,47,115,0,0,0,872,989,
06/15/2017,716,152,23,3,894,1,0,1,0,2,0,1,1,11,13,0,33,53,47,133,0,0,0,907,"1,042",
06/16/2017,739,140,8,0,887,2,0,2,0,4,0,1,1,12,14,0,24,24,34,82,0,0,0,901,987,
06/17/2017,523,75,3,2,603,0,0,4,0,4,0,0,0,8,8,0,40,39,21,100,0,0,0,611,715,
06/18/2017,687,114,5,0,806,0,0,0,0,0,0,3,3,4,10,0,32,27,19,78,0,0,0,816,894,
06/19/2017,560,102,21,2,685,0,1,0,0,1,0,0,12,16,28,0,26,59,72,157,0,0,0,713,871,
06/20/2017,748,140,14,0,902,0,0,1,0,1,0,0,3,10,13,0,56,108,43,207,0,0,0,915,"1,123",
06/21/2017,738,138,14,2,892,0,0,0,0,0,0,1,4,16,21,0,46,56,38,140,0,0,0,913,"1,053",
06/22/2017,741,143,21,3,908,0,1,2,0,3,0,1,4,10,15,0,42,45,65,152,0,0,0,923,"1,078",
06/23/2017,747,128,8,2,885,1,0,1,0,2,0,2,0,9,11,0,46,20,44,110,0,0,0,896,"1,008",
06/24/2017,523,81,2,0,606,0,0,1,0,1,0,1,0,8,9,0,52,44,22,118,0,0,0,615,734,
06/25/2017,681,125,6,1,813,1,0,2,0,3,0,0,0,7,7,0,28,73,12,113,0,0,0,820,936,
06/26/2017,744,142,6,0,892,0,0,1,0,1,0,2,1,15,18,0,46,38,57,141,0,0,0,910,"1,052",
06/27/2017,733,141,20,3,897,0,0,3,0,3,0,0,6,12,18,0,29,58,55,142,0,0,0,915,"1,060",
06/28/2017,745,147,15,1,908,0,0,3,0,3,0,1,5,12,18,0,43,59,45,147,0,0,0,926,"1,076",
06/29/2017,743,141,15,1,900,1,0,3,0,4,0,0,5,20,25,0,38,55,53,146,0,0,0,925,"1,075",
06/30/2017,740,134,4,2,880,0,0,2,0,2,0,0,0,11,11,0,44,37,29,110,0,0,0,891,"1,003",
07-01-2017,504,71,0,0,575,1,0,3,0,4,0,0,0,8,8,0,45,36,23,104,0,0,0,583,691,
07-02-2017,524,70,0,0,594,3,0,1,0,4,0,0,0,12,12,0,39,37,13,89,0,0,0,606,699,
07-03-2017,501,70,2,0,573,0,0,0,0,0,0,2,0,10,12,0,43,47,10,100,0,0,0,585,685,
07-04-2017,591,96,0,0,687,0,0,2,0,2,0,2,1,8,11,0,39,40,46,125,0,0,0,698,825,
07-05-2017,711,142,3,2,858,3,1,2,0,6,0,0,1,5,6,0,16,18,25,59,0,0,0,864,929,
07-06-2017,717,136,7,0,860,0,0,0,0,0,0,0,0,2,2,0,15,4,7,26,0,0,0,862,888,
07-07-2017,700,128,3,0,831,1,0,1,0,2,0,0,1,7,8,0,31,18,60,109,0,0,0,839,950,
07-08-2017,515,74,0,0,589,0,0,0,0,0,0,1,0,8,9,0,44,73,39,156,0,0,0,598,754,
07-09-2017,695,113,2,0,810,0,0,3,0,3,0,0,0,7,7,0,26,51,16,93,0,0,0,817,913,
07-10-2017,569,102,12,5,688,0,0,1,1,2,0,0,1,10,11,0,30,23,43,96,0,0,0,699,797,
07-11-2017,749,145,15,0,909,0,0,1,0,1,0,0,2,14,16,0,30,26,34,90,0,0,0,925,"1,016",
07-12-2017,709,142,12,4,867,0,0,0,0,0,0,0,4,8,12,0,23,44,68,135,0,0,0,879,"1,014",
07/13/2017,723,131,18,5,877,0,1,0,0,1,0,0,4,14,18,0,30,45,46,121,0,0,0,895,"1,017",
07/14/2017,644,105,14,2,765,1,0,3,0,4,0,0,0,7,7,0,29,27,26,82,0,0,0,772,858,
07/15/2017,535,75,0,0,610,1,0,1,0,2,0,1,0,7,8,0,30,58,20,108,0,0,0,618,728,
07/16/2017,690,112,5,0,807,0,0,2,0,2,0,2,0,5,7,0,35,66,17,118,0,0,0,814,934,
07/17/2017,717,124,22,4,867,0,0,1,0,1,0,0,1,13,14,0,31,39,41,111,0,0,0,881,993,
07/18/2017,728,136,24,2,890,0,0,4,2,6,0,1,6,15,22,0,24,51,48,123,0,0,0,912,"1,041",
07/19/2017,762,141,15,2,920,0,0,2,0,2,0,0,2,10,12,0,32,46,65,143,0,0,0,932,"1,077",
07/20/2017,735,135,16,2,888,1,0,2,0,3,0,1,3,8,12,0,60,34,60,154,0,0,0,900,"1,057",
07/21/2017,749,128,4,2,883,0,0,3,0,3,0,0,2,10,12,0,35,52,36,123,0,0,0,895,"1,021",
07/22/2017,532,72,0,0,604,1,0,1,0,2,0,1,0,6,7,0,23,36,35,94,0,0,0,611,707,
07/23/2017,622,108,4,0,734,0,0,3,0,3,0,0,1,6,7,0,4,21,13,38,0,0,0,741,782,
07/24/2017,744,129,20,0,893,2,0,4,0,6,0,1,2,12,15,0,36,37,50,123,0,0,0,908,"1,037",
07/25/2017,744,138,13,3,898,0,0,0,1,1,0,0,5,13,18,0,20,66,58,144,0,0,0,916,"1,061",
07/26/2017,742,143,13,3,901,0,0,1,0,1,0,0,5,16,21,0,20,60,66,146,0,0,0,922,"1,069",
07/27/2017,749,132,3,2,886,0,0,3,0,3,0,0,3,11,14,0,34,44,59,137,0,0,0,900,"1,040",
07/28/2017,688,114,10,1,813,1,0,1,0,2,0,0,1,4,5,0,11,13,15,39,0,0,0,818,859,
