OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/01/2017 To 12/31/2021 | Facility=GSP,,,,,,,,,,,,,,,,,,,,,,,,,
,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Air,Air,General,Military,Total,Civil,Military,Total,Airport,Tower
,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,Carrier,Taxi,Aviation,,,,,,Operations,Operations
06/01/2018,60,41,27,4,132,0,1,6,0,7,0,0,6,3,9,0,0,7,2,9,0,0,0,141,157
06/02/2018,41,22,8,2,73,0,1,5,0,6,0,2,7,5,14,0,2,5,0,7,0,0,0,87,100
06/03/2018,54,43,31,8,136,0,1,2,0,3,0,0,1,0,1,0,3,4,2,9,0,0,0,137,149
06/04/2018,65,40,9,5,119,0,1,1,0,2,0,0,18,1,19,0,1,12,2,15,5,8,13,151,168
06/05/2018,66,38,32,4,140,0,0,1,0,1,0,0,12,0,12,0,3,5,2,10,16,0,16,168,179
06/06/2018,69,43,20,12,144,0,2,3,0,5,0,0,18,0,18,0,0,11,0,11,0,0,0,162,178
06/07/2018,63,40,28,11,142,0,0,1,0,1,0,0,10,0,10,0,0,6,0,6,0,14,14,166,173
06/08/2018,64,34,13,6,117,0,0,2,0,2,0,1,13,8,22,0,0,23,1,24,0,0,0,139,165
06/09/2018,47,24,6,0,77,0,1,1,0,2,0,0,0,0,0,0,1,15,0,16,0,0,0,77,95
06/10/2018,59,33,13,2,107,1,0,1,0,2,0,1,7,0,8,0,0,6,1,7,0,0,0,115,124
